#Rechtecke,Sweep-Line-Zeit[ms],Brute-Force-Zeit[ms],Brute-Force-Zeit(multitasked)[ms]
5000,25.0,98.0,52.0
6000,22.0,157.0,92.0
7000,14.0,132.0,67.0
8000,7.0,185.0,108.0
9000,19.0,221.0,116.0
10000,11.0,274.0,152.0
11000,11.0,349.0,202.0
12000,12.0,401.0,233.0
13000,7.0,475.0,308.0
14000,7.0,550.0,284.0
15000,12.0,611.0,347.0
16000,15.0,690.0,364.0
17000,13.0,779.0,437.0
18000,14.0,875.0,468.0
19000,17.0,967.0,546.0
20000,18.0,1072.0,561.0
21000,18.0,1203.0,772.0
22000,25.0,1310.0,681.0
23000,23.0,1464.0,886.0
24000,30.0,1781.0,921.0
25000,28.0,1707.0,882.0
26000,32.0,1878.0,996.0
27000,40.0,1967.0,1110.0
28000,37.0,2103.0,1105.0
29000,37.0,2270.0,1198.0
30000,43.0,2439.0,1254.0
