name,X,Y,height,width
Chur,1056538.464,5885439.966,32421.875,50000
Neuchatel,769664.6806,5909646.767,32421.875,98000
Herisau,1032412.504,5972404.937,32421.875,76000
Glarus,1008300.381,5917949.555,32421.875,66000
Bregenz,1086224.248,5994297.064,32421.875,80000
Aosta,813302.3641,5706690.427,32421.875,60000
Lausanne,739277.1457,5833737.953,32421.875,92000
Schwyz,961691.1348,5913063.896,32421.875,80000
Bern,830219.9062,5896263.243,32421.875,48000
Frauenfeld,1012897.978,6002730.896,32421.875,104000
Aarau,893341.1909,5973503.982,32421.875,60000
Altdorf,960578.0491,5890143.791,32421.875,74000
Bellinzona,1003101.652,5780123.198,32421.875,104000
Schaffhausen,960020.9996,6025460.666,32421.875,128000
Mulhouse,817196.0331,6032786.506,32421.875,100000
Zug,943768.5813,5938984.768,32421.875,40000
Besancon,670257.5213,5947315.054,32421.875,94000
Luzern,920725.4697,5918017.851,32421.875,70000
Z¸Årich,950566.162,5972181.154,32421.875,66000
Solothurn,838014.6245,5944374.752,32421.875,96000
Sarnen,916606.7328,5893390.97,32421.875,66000
Lugano,997165.9405,5748660.58,32421.875,72000
Stans,932224.9707,5901678.177,32421.875,54000
Vaduz,1058390.8,5931596.001,32421.875,64000
Liestal,860279.2863,5988761.901,32421.875,66000
Sion,817643.4776,5786859.133,32421.875,44000
Como,1009781.379,5718303.858,32421.875,60000
Appenzell,1047262.305,5964214.565,32421.875,104000
Geneva,682504.7942,5782208.622,32421.875,74000
Fribourg,794933.972,5877327.626,32421.875,84000
Basel,843916.8329,6004769.386,32421.875,54000
Saint Gallen,1041172.912,5978914.161,32421.875,118000
Annecy,679904.6217,5732636.906,32421.875,78000
Biel,806070.5161,5936959.024,32421.875,40000
Delemont,816641.6028,5970225.002,32421.875,96000
